className,description,file,line,method,priority,rule,ruleset,variable
"StreamProcessingException","Parameter 'message' is not assigned and could be declared final","streamconverter-core/src/main/java/com/streamConverter/StreamProcessingException.java",26,"StreamProcessingException",3,"MethodArgumentCouldBeFinal","Code Style",message
"StreamProcessingException","Parameter 'cause' is not assigned and could be declared final","streamconverter-core/src/main/java/com/streamConverter/StreamProcessingException.java",26,"StreamProcessingException",3,"MethodArgumentCouldBeFinal","Code Style",cause
"StreamProcessingException","Parameter 'cause' is not assigned and could be declared final","streamconverter-core/src/main/java/com/streamConverter/StreamProcessingException.java",35,"StreamProcessingException",3,"MethodArgumentCouldBeFinal","Code Style",cause
PmdReportConverter,"Package name contains upper case characters","streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",1,,3,PackageCase,"Code Style",
PmdReportConverter,"Each class should declare at least one constructor","streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",26,,3,AtLeastOneConstructor,"Code Style",
PmdReportConverter,"Parameter 'args' is not assigned and could be declared final","streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",28,main,3,"MethodArgumentCouldBeFinal","Code Style",args
PmdReportConverter,"A method/constructor should not explicitly throw java.lang.Exception","streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",28,main,3,"SignatureDeclareThrowsException",Design,
PmdReportConverter,"Avoid using literals in if statements","streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",29,main,3,"AvoidLiteralsInIfCondition","Error Prone",
PmdReportConverter,"Usage of System.out/err","streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",30,main,2,SystemPrintln,"Best Practices",
PmdReportConverter,"Local variable 'xmlFile' could be declared final","streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",34,main,3,"LocalVariableCouldBeFinal","Code Style",xmlFile
PmdReportConverter,"Local variable 'outputDir' could be declared final","streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",35,main,3,"LocalVariableCouldBeFinal","Code Style",outputDir
PmdReportConverter,"Local variable 'converter' could be declared final","streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",37,main,3,"LocalVariableCouldBeFinal","Code Style",converter
PmdReportConverter,"Parameter 'xmlFilePath' is not assigned and could be declared final","streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",41,convertReport,3,"MethodArgumentCouldBeFinal","Code Style",xmlFilePath
PmdReportConverter,"Parameter 'outputDir' is not assigned and could be declared final","streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",41,convertReport,3,"MethodArgumentCouldBeFinal","Code Style",outputDir
PmdReportConverter,"A method/constructor should not explicitly throw java.lang.Exception","streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",41,convertReport,3,"SignatureDeclareThrowsException",Design,
PmdReportConverter,"Local variable 'xmlPath' could be declared final","streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",42,convertReport,3,"LocalVariableCouldBeFinal","Code Style",xmlPath
PmdReportConverter,"Local variable 'outputPath' could be declared final","streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",43,convertReport,3,"LocalVariableCouldBeFinal","Code Style",outputPath
PmdReportConverter,"Local variable 'violations' could be declared final","streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",47,convertReport,3,"LocalVariableCouldBeFinal","Code Style",violations
PmdReportConverter,"Usage of System.out/err","streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",54,convertReport,2,SystemPrintln,"Best Practices",
PmdReportConverter,"Usage of System.out/err","streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",55,convertReport,2,SystemPrintln,"Best Practices",
PmdReportConverter,"Usage of System.out/err","streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",56,convertReport,2,SystemPrintln,"Best Practices",
PmdReportConverter,"Usage of System.out/err","streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",57,convertReport,2,SystemPrintln,"Best Practices",
PmdReportConverter,"Parameter 'xmlPath' is not assigned and could be declared final","streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",60,parseXmlReport,3,"MethodArgumentCouldBeFinal","Code Style",xmlPath
PmdReportConverter,"A method/constructor should not explicitly throw java.lang.Exception","streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",60,parseXmlReport,3,"SignatureDeclareThrowsException",Design,
PmdReportConverter,"Local variable 'builder' could be declared final","streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",61,parseXmlReport,3,"LocalVariableCouldBeFinal","Code Style",builder
PmdReportConverter,"Local variable 'doc' could be declared final","streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",62,parseXmlReport,3,"LocalVariableCouldBeFinal","Code Style",doc
PmdReportConverter,"Local variable 'fileNodes' could be declared final","streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",64,parseXmlReport,3,"LocalVariableCouldBeFinal","Code Style",fileNodes
PmdReportConverter,"Local variable 'violations' could be declared final","streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",65,parseXmlReport,3,"LocalVariableCouldBeFinal","Code Style",violations
PmdReportConverter,"Local variable 'fileElement' could be declared final","streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",68,parseXmlReport,3,"LocalVariableCouldBeFinal","Code Style",fileElement
PmdReportConverter,"Local variable 'fileName' could be declared final","streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",69,parseXmlReport,3,"LocalVariableCouldBeFinal","Code Style",fileName
PmdReportConverter,"Local variable 'violationNodes' could be declared final","streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",71,parseXmlReport,3,"LocalVariableCouldBeFinal","Code Style",violationNodes
PmdReportConverter,"Local variable 'violationElement' could be declared final","streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",73,parseXmlReport,3,"LocalVariableCouldBeFinal","Code Style",violationElement
PmdReportConverter,"Local variable 'violation' could be declared final","streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",75,parseXmlReport,3,"LocalVariableCouldBeFinal","Code Style",violation
PmdReportConverter,"Avoid instantiating new objects inside loops","streamconverter-core/src/main/java/com/streamConverter/analysis/PmdReportConverter.java",76,parseXmlReport,3,"AvoidInstantiatingObjectsInLoops",Performance,violation
